word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,confident,resolved_word,normalized_sentiment,sentiment_strength,open_class,closed_class,pos_count,word_length,log_frequency,frequency_rank,cluster,pc1,pc2
basically,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,129,128,0.2968031007751937,1,basically,-0.02487380480165069,0.02487380480165069,True,False,1,9,4.867534450455582,1013.5,0,1.4212409752742947,0.8075243654534463
price,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129,119,0.351013953488372,1,price,0.029337047911527636,0.029337047911527636,True,False,2,5,4.867534450455582,1013.5,0,2.23571739820288,0.15806746695851076
offers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129,127,0.4868255813953489,1,offers,0.16514867581850456,0.16514867581850456,True,False,2,6,4.867534450455582,1013.5,0,1.939559402060588,0.17652001200668532
sound,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,129,124,0.4755682170542638,1,sound,0.1538913114774194,0.1538913114774194,True,False,4,5,4.867534450455582,1013.5,0,2.7963390403209716,-0.8252594863699719
taken,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,128,127,0.27014921875,1,taken,-0.05152768682684439,0.05152768682684439,True,False,2,5,4.859812404361672,1018.0,0,2.1769712204730505,-0.1123498010471687
increase,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,128,127,0.59223515625,1,increase,0.27055825067315564,0.27055825067315564,True,False,2,8,4.859812404361672,1018.0,0,1.5689671424359148,0.28591826035589124
responding,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,128,126,0.0203554687499999,1,responding,-0.3013214368268445,0.3013214368268445,True,False,1,10,4.859812404361672,1018.0,0,0.8018600034010404,-0.6365167317490107
click,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127,122,0.1693440944881889,1,click,-0.15233281108865546,0.15233281108865546,True,False,2,5,4.852030263919617,1022.0,0,1.9886006415846613,-0.666747660154275
offer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127,121,0.2951031496062991,1,offer,-0.026573755970545287,0.026573755970545287,True,False,2,5,4.852030263919617,1022.0,0,2.217646264223939,0.025547533429987727
subjects,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127,124,0.5768590551181101,1,subjects,0.2551821495412657,0.2551821495412657,True,False,2,8,4.852030263919617,1022.0,0,1.585157762085705,0.29310219408473326
further,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,127,125,0.4542015748031496,1,further,0.13252466922630524,0.13252466922630524,True,False,2,7,4.852030263919617,1022.0,0,1.863380945154091,0.2689552128187301
reviews,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127,118,0.2172952755905511,1,reviews,-0.10438162998629327,0.10438162998629327,True,False,2,7,4.852030263919617,1022.0,0,1.8539587883393405,-0.2482886971415127
flow,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0.482734126984127,1,flow,0.16105722140728262,0.16105722140728262,True,False,2,4,4.844187086458591,1028.0,0,2.152034508041669,0.02545684976072187
conversational,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,126,123,0.5952484126984127,1,conversational,0.2735715071215683,0.2735715071215683,True,False,1,14,4.844187086458591,1028.0,0,0.5235291653649815,1.2139076245147904
planning,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126,123,0.6217992063492065,1,planning,0.3001223007723621,0.3001223007723621,True,False,2,8,4.844187086458591,1028.0,0,1.5184772612971627,0.27423734789695564
capable,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,126,120,0.5252928571428571,1,capable,0.20361595156601275,0.20361595156601275,True,False,1,7,4.844187086458591,1028.0,0,1.3958235163568724,0.7034732098016961
maths,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,118,0.254497619047619,1,maths,-0.06717928652922539,0.06717928652922539,True,False,1,5,4.844187086458591,1028.0,0,1.7730620478351182,0.2673102455391346
government,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,122,0.2754,1,government,-0.046276905576844385,0.046276905576844385,True,False,1,10,4.844187086458591,1028.0,0,1.256192689859454,0.7686037451160127
ultra,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,125,122,0.2922335999999998,1,ultra,-0.029443305576844547,0.029443305576844547,True,False,2,5,4.836281906951478,1033.0,0,2.2018794020819157,0.010904179600372658
convenient,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0.5159399999999996,1,convenient,0.19426309442315526,0.19426309442315526,True,False,1,10,4.836281906951478,1033.0,0,1.0704791671921916,0.9398219995026557
respect,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125,119,0.4789031999999999,1,respect,0.15722629442315555,0.15722629442315555,True,False,2,7,4.836281906951478,1033.0,0,1.8191613711306729,0.2594151934925881
waiting,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,124,122,0.2058733870967741,1,waiting,-0.11580351848007026,0.11580351848007026,True,False,2,7,4.8283137373023015,1036.5,0,1.817908170884006,-0.3094894321030272
remembers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,124,120,0.5813951612903225,1,remembers,0.2597182557134782,0.2597182557134782,True,False,1,9,4.8283137373023015,1036.5,0,1.0875158285644506,0.8347636466772519
sonnet,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,124,106,0.393333064516129,1,sonnet,0.07165615893928462,0.07165615893928462,True,False,2,6,4.8283137373023015,1036.5,0,2.042111068534263,0.21973575737336812
pic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,105,0.0516887096774193,1,pic,-0.2699881958994251,0.2699881958994251,True,False,1,3,4.8283137373023015,1036.5,0,1.6158204081452145,-1.0025439289998603
including,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123,120,0.3059048780487805,1,including,-0.015772027528063837,0.015772027528063837,True,False,1,9,4.820281565605037,1042.5,0,1.4074048054639339,0.8609715507085293
lie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123,118,0.0338495934959349,1,lie,-0.28782731208090945,0.28782731208090945,True,False,2,3,4.820281565605037,1042.5,0,1.9430574503000702,-1.564851035004704
talks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123,118,0.3921382113821139,1,talks,0.07046130580526955,0.07046130580526955,True,False,2,5,4.820281565605037,1042.5,0,2.1492338994167137,0.14360726747933789
default,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123,114,0.2872756097560976,1,default,-0.03440129582074675,0.03440129582074675,True,False,2,7,4.820281565605037,1042.5,0,1.9606723960747177,0.13922407883516966
becomes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123,122,0.2123715447154471,1,becomes,-0.10930536086139725,0.10930536086139725,True,False,1,7,4.820281565605037,1042.5,0,1.459027647241844,0.191585886051177
interactive,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,123,122,0.5662008130081297,1,interactive,0.24452390743128538,0.24452390743128538,True,False,2,11,4.820281565605037,1042.5,0,1.245984248884145,0.5317282387566097
lies,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,108,-0.3857803278688523,1,lies,-0.7074572334456967,0.7074572334456967,True,False,2,4,4.812184355372417,1050.0,0,1.0618171948010386,-3.7969929055303027
ridiculous,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,122,116,-0.253744262295082,1,ridiculous,-0.5754211678719263,0.5754211678719263,True,False,1,10,4.812184355372417,1050.0,0,0.2711468165507366,-2.1419667624080008
services,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,117,0.442272950819672,1,services,0.12059604524282763,0.12059604524282763,True,False,2,8,4.812184355372417,1050.0,0,1.741936805622776,0.35428763422398024
water,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,89,0.0176508196721311,1,water,-0.30402608590471325,0.30402608590471325,True,False,2,5,4.812184355372417,1050.0,0,1.6856006521373437,-1.4988859429060668
command,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,111,0.1385459016393442,1,command,-0.18313100393750018,0.18313100393750018,True,False,2,7,4.812184355372417,1050.0,0,1.6838119057767413,-0.6788756806839082
listening,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,122,117,0.1102885245901639,1,listening,-0.21138838098668045,0.21138838098668045,True,False,2,9,4.812184355372417,1050.0,0,1.4103710083125527,-0.679939737057302
productivity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,117,0.6635851239669425,1,productivity,0.3419082183900981,0.3419082183900981,True,False,1,12,4.804021044733257,1056.5,0,0.6253139083435749,1.032788363576647
deal,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,121,119,0.2425983471074379,1,deal,-0.07907855846940645,0.07907855846940645,True,False,3,4,4.804021044733257,1056.5,0,2.565802560379601,-0.801892620655186
w,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,100,0.4892438016528926,1,w,0.16756689607604824,0.16756689607604824,True,False,1,1,4.804021044733257,1056.5,0,2.0838825495235063,0.2585607612060156
building,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,121,117,0.5596909090909091,1,building,0.23801400351406476,0.23801400351406476,True,False,3,8,4.804021044733257,1056.5,0,1.9413611693784978,-0.1606249755242443
exams,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,119,0.6031760330578511,1,exams,0.2814991274810067,0.2814991274810067,True,False,1,5,4.804021044733257,1056.5,0,1.484592284126635,0.5182212801630707
mere,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,121,105,0.1780694214876033,1,mere,-0.14360748408924107,0.14360748408924107,True,False,2,4,4.804021044733257,1056.5,0,2.0830541070570447,-0.6924163643281253
desktop,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,120,112,0.1893541666666667,1,desktop,-0.13232273891017765,0.13232273891017765,True,False,2,7,4.795790545596741,1062.0,0,1.7652103369370442,-0.3979627996030546
original,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,120,114,0.3226050000000001,1,original,0.0009280944231557231,0.0009280944231557231,True,False,2,8,4.795790545596741,1062.0,0,1.8939572408463585,0.4073087199869651
character,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,99,0.2916541666666666,1,character,-0.03002273891017776,0.03002273891017776,True,False,2,9,4.795790545596741,1062.0,0,1.7295542708577252,0.31968277915263893
payment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,100,0.1005949999999999,1,payment,-0.22108190557684446,0.22108190557684446,True,False,1,7,4.795790545596741,1062.0,0,1.2383312192892892,-0.42187240086180194
keyboard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,96,0.0532824999999999,1,keyboard,-0.26839440557684446,0.26839440557684446,True,False,1,8,4.795790545596741,1062.0,0,1.0411729217375507,-0.6050790934506514
purposes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119,118,0.5205361344537813,1,purposes,0.19885922887693697,0.19885922887693697,True,False,2,8,4.787491742782046,1069.5,0,1.6180206235640684,0.32228220337919333
consistently,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,119,118,0.2544084033613444,1,consistently,-0.06726850221549996,0.06726850221549996,True,False,1,12,4.787491742782046,1069.5,0,0.9574628354881581,0.8117453518941743
organized,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,119,118,0.6398689075630247,1,organized,0.31819200198618036,0.31819200198618036,True,False,2,9,4.787491742782046,1069.5,0,1.3443304595942511,0.34786845184160564
according,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,119,113,0.3338689075630252,1,according,0.012192001986180812,0.012192001986180812,True,False,2,9,4.787491742782046,1069.5,0,1.761541286994881,0.4803359850258256
focus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119,112,0.4421512605042015,1,focus,0.12047435492735714,0.12047435492735714,True,False,2,5,4.787491742782046,1069.5,0,2.0578566158050267,0.12447867578808655
keeping,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119,117,0.4533764705882351,1,keeping,0.13169956501139074,0.13169956501139074,True,False,2,7,4.787491742782046,1069.5,0,1.8205761925154986,0.27411019321722757
requests,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119,117,0.0956924369747899,1,requests,-0.22598446860205446,0.22598446860205446,True,False,2,8,4.787491742782046,1069.5,0,1.4775653819666361,-0.8356609463474546
o,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,104,0.4142134453781509,1,o,0.09253653980130655,0.09253653980130655,True,False,1,1,4.787491742782046,1069.5,0,2.1746775789439683,0.2922948158052096
called,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,119,119,0.1836285714285714,1,called,-0.13804833414827297,0.13804833414827297,True,False,2,6,4.787491742782046,1069.5,0,1.8596995113832875,-0.5060693189654824
oh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,116,0.2417563025210083,1,oh,-0.07992060305583606,0.07992060305583606,True,False,1,2,4.787491742782046,1069.5,0,2.0442974450021576,-0.03035819645646972
track,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118,114,0.3826415254237287,1,track,0.06096461984688434,0.06096461984688434,True,False,2,5,4.77912349311153,1077.0,0,2.132891867848513,0.15090208008583522
written,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,118,111,0.1733754237288135,1,written,-0.14830148184803085,0.14830148184803085,True,False,2,7,4.77912349311153,1077.0,0,1.7239352567106618,-0.48460513984482334
running,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,118,116,0.229092372881356,1,running,-0.09258453269548836,0.09258453269548836,True,False,3,7,4.77912349311153,1077.0,0,2.1906344113585585,-0.6425907376944846
cost,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118,115,0.3738889830508474,1,cost,0.05221207747400303,0.05221207747400303,True,False,2,4,4.77912349311153,1077.0,0,2.255813177048166,0.07744560160843028
happens,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117,116,0.0770538461538461,1,happens,-0.24462305942299828,0.24462305942299828,True,False,1,7,4.770684624465665,1081.5,0,1.178056936862309,-0.5495683830080506
network,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117,107,0.0307230769230769,1,network,-0.29095382865376745,0.29095382865376745,True,False,2,7,4.770684624465665,1081.5,0,1.4588960500676924,-1.2693198504140377
hell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,114,-0.4646393162393163,1,hell,-0.7863162218161607,0.7863162218161607,True,False,1,4,4.770684624465665,1081.5,0,0.5244317404934421,-3.76328941270389
reset,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117,99,0.0824760683760683,1,reset,-0.23920083720077606,0.23920083720077606,True,False,2,5,4.770684624465665,1081.5,0,1.7751296325227077,-1.138914007027446
digital,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116,112,0.4905189655172413,1,digital,0.16884205994039692,0.16884205994039692,True,False,1,7,4.762173934797756,1086.5,0,1.3879750690996921,0.7245688497624889
forgets,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,116,115,0.0837482758620689,1,forgets,-0.23792862971477546,0.23792862971477546,True,False,1,7,4.762173934797756,1086.5,0,1.1848394335982164,-0.512120554124275
unique,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116,112,0.6080482758620689,1,unique,0.2863713702852245,0.2863713702852245,True,False,2,6,4.762173934797756,1086.5,0,1.7039409817808127,0.13174122307060598
allowed,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,116,109,0.1884724137931035,1,allowed,-0.13320449178374086,0.13320449178374086,True,False,2,7,4.762173934797756,1086.5,0,1.740795636631441,-0.4003248530403306
relevant,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116,112,0.4277224137931033,1,relevant,0.10604550821625891,0.10604550821625891,True,False,1,8,4.762173934797756,1086.5,0,1.3626062329326634,0.8289989622157037
devices,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,114,0.2784836206896552,1,devices,-0.043193284887189154,0.043193284887189154,True,False,1,7,4.762173934797756,1086.5,0,1.5395119322426953,0.5598845044259606
ya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,95,0.3530573913043479,1,ya,0.031380485727503515,0.031380485727503515,True,False,1,2,4.7535901911063645,1092.0,0,2.124738810438607,0.3984627573546308
strong,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,115,111,0.6203495652173914,1,strong,0.298672659640547,0.298672659640547,True,False,2,6,4.7535901911063645,1092.0,0,1.6815739581772184,0.12703001124141705
form,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115,111,0.5196808695652176,1,form,0.19800396398837328,0.19800396398837328,True,False,2,4,4.7535901911063645,1092.0,0,2.040804677608838,0.01611861764433472
rest,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115,113,0.4733052173913043,1,rest,0.15162831181445996,0.15162831181445996,True,False,2,4,4.7535901911063645,1092.0,0,2.1040348221013945,0.03619465765507884
impossible,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115,111,0.0686339130434782,1,impossible,-0.25304299253336615,0.25304299253336615,True,False,2,10,4.7535901911063645,1092.0,0,1.1839747399958713,-0.8276773951867481
music,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,96,0.4363043859649124,1,music,0.11462748038806803,0.11462748038806803,True,False,1,5,4.74493212836325,1096.0,0,1.673099058909059,0.5947352016704838
d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,91,0.5230210526315787,1,d,0.20134414705473436,0.20134414705473436,True,False,1,1,4.74493212836325,1096.0,0,1.9988177792683897,0.24821368740728442
t,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,106,0.4482274336283186,1,t,0.1265505280514742,0.1265505280514742,True,False,1,1,4.736198448394496,1100.5,0,2.095433273226529,0.2811843244173177
consider,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,113,108,0.525217699115044,1,consider,0.20354079353819965,0.20354079353819965,True,False,1,8,4.736198448394496,1100.5,0,1.2135475589963804,0.7885734101394034
kinda,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113,108,0.3777115044247789,1,kinda,0.05603459884793455,0.05603459884793455,True,False,2,5,4.736198448394496,1100.5,0,2.1128475000628764,0.155988853171733
control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,113,109,0.2105477876106194,1,control,-0.11112911796622496,0.11112911796622496,True,False,2,7,4.736198448394496,1100.5,0,1.7648713504061395,-0.27702119616224236
expect,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,0.3587336283185842,1,expect,0.03705672274173982,0.03705672274173982,True,False,1,6,4.736198448394496,1100.5,0,1.6625132036555503,0.7061535210879344
india,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,99,0.4473392857142856,1,india,0.12566238013744124,0.12566238013744124,True,False,1,5,4.727387818712341,1105.0,0,1.6472971319440235,0.5911471338130702
frequently,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112,108,-0.0378696428571428,1,frequently,-0.35954654843398715,0.35954654843398715,True,False,1,10,4.727387818712341,1105.0,0,0.6088465268953572,-0.9475059973259413
removed,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,112,109,0.0616473214285714,1,removed,-0.260029584148273,0.260029584148273,True,False,2,7,4.727387818712341,1105.0,0,1.4882822614426638,-1.0961118127893414
verification,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,90,-0.0782171171171171,1,verification,-0.39989402269396146,0.39989402269396146,True,False,1,12,4.718498871295094,1109.0,0,0.30810562138045294,-1.0145393436611063
shared,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,111,107,0.58451981981982,1,shared,0.2628429142429757,0.2628429142429757,True,False,2,6,4.718498871295094,1109.0,0,1.7092140561821803,0.1448892867298659
art,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,101,0.4327756756756756,1,art,0.11109877009883123,0.11109877009883123,True,False,1,3,4.718498871295094,1109.0,0,1.8838489925146797,0.44354669834480803
large,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,111,105,0.399717117117117,1,large,0.07804021154027263,0.07804021154027263,True,False,3,5,4.718498871295094,1109.0,0,2.4373897378608778,-0.317058679925985
sad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111,106,-0.0034711711711711,1,sad,-0.3251480767480155,0.3251480767480155,True,False,1,3,4.718498871295094,1109.0,0,1.4431309544192736,-1.2982770276370972
force,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,109,0.0252772727272727,1,force,-0.29639963284957166,0.29639963284957166,True,False,2,5,4.709530201312334,1116.5,0,1.6323594877281395,-1.4495383020564427
light,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,110,101,0.5286227272727274,1,light,0.20694582169588305,0.20694582169588305,True,False,4,5,4.709530201312334,1116.5,0,2.6204798682492996,-0.8368724271664917
instant,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,110,109,0.5141845454545454,1,instant,0.19250763987770103,0.19250763987770103,True,False,3,7,4.709530201312334,1116.5,0,2.0529682032802334,-0.2114275370033349
happen,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,110,105,0.1284909090909091,1,happen,-0.19318599648593526,0.19318599648593526,True,False,2,6,4.709530201312334,1116.5,0,1.7093552269931813,-0.8041086740599918
hallucinations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,105,0.1930109090909091,1,hallucinations,-0.12866599648593527,0.12866599648593527,True,False,1,14,4.709530201312334,1116.5,0,0.5737418972224549,0.6337369561326084
compare,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,0.3953454545454543,1,compare,0.07366854896860991,0.07366854896860991,True,False,1,7,4.709530201312334,1116.5,0,1.4845543000089345,0.7694253155945322
above,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,110,109,0.4260963636363636,1,above,0.10441945805951924,0.10441945805951924,True,False,3,5,4.709530201312334,1116.5,0,2.3950462214510524,-0.32778504051472734
case,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,107,0.4118027272727274,1,case,0.09012582169588301,0.09012582169588301,True,False,2,4,4.709530201312334,1116.5,0,2.1603008623017463,0.06586090221793173
list,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,101,0.2501472727272726,1,list,-0.07152963284957176,0.07152963284957176,True,False,2,4,4.709530201312334,1116.5,0,2.1529041855957702,-0.28888943864822947
felt,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,110,104,0.4857645454545452,1,felt,0.16408763987770086,0.16408763987770086,True,False,3,4,4.709530201312334,1116.5,0,2.4246803837516735,-0.43086088027405384
emotional,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109,104,0.5883733944954127,1,emotional,0.26669648891856834,0.26669648891856834,True,False,1,9,4.700480365792417,1127.0,0,0.99207461228497,0.8411402597808021
setting,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,109,104,0.3443495412844035,1,setting,0.02267263570755912,0.02267263570755912,True,False,3,7,4.700480365792417,1127.0,0,2.2772038080041956,-0.13711998213428883
section,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,105,0.4808550458715596,1,section,0.15917814029471522,0.15917814029471522,True,False,1,7,4.700480365792417,1127.0,0,1.3606443819901892,0.73319408393642
leave,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,108,0.2018467889908257,1,leave,-0.11983011658601866,0.11983011658601866,True,False,2,5,4.700480365792417,1127.0,0,1.946623240775228,-0.4767490080320405
positive,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109,106,0.6808302752293581,1,positive,0.35915336965251377,0.35915336965251377,True,False,2,8,4.700480365792417,1127.0,0,1.3422251298775292,0.2591664987800581
academic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109,107,0.56741376146789,1,academic,0.24573685589104566,0.24573685589104566,True,False,2,8,4.700480365792417,1127.0,0,1.4968610695746438,0.3082645569510903
imagine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,108,0.372423853211009,1,imagine,0.05074694763416465,0.05074694763416465,True,False,1,7,4.700480365792417,1127.0,0,1.5084831650161548,0.7801339944330411
scroll,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,99,0.0699669724770642,1,scroll,-0.2517099330997802,0.2517099330997802,True,False,2,6,4.700480365792417,1127.0,0,1.5954420488272514,-1.1254931261510948
funny,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,109,107,0.5148596330275226,1,funny,0.19318272745067822,0.19318272745067822,True,False,3,5,4.700480365792417,1127.0,0,2.266700127884541,-0.36542479082334045
solid,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109,108,0.6239917431192659,1,solid,0.3023148375424215,0.3023148375424215,True,False,2,5,4.700480365792417,1127.0,0,1.7526841054312012,0.052035550428752575
plans,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,103,0.4369559633027524,1,plans,0.11527905772590802,0.11527905772590802,True,False,2,5,4.700480365792417,1127.0,0,2.0076950611526714,0.13300342091725087
downloading,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108,107,0.1547592592592593,1,downloading,-0.16691764631758507,0.16691764631758507,True,False,1,11,4.6913478822291435,1137.0,0,0.8225045581483421,0.1929892388311442
learned,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,108,106,0.6040712962962962,1,learned,0.2823943907194518,0.2823943907194518,True,False,2,7,4.6913478822291435,1137.0,0,1.5506591655854158,0.21592556083830347
mid,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108,101,0.1421185185185186,1,mid,-0.17955838705832577,0.17955838705832577,True,False,2,3,4.6913478822291435,1137.0,0,2.0526058532424525,-0.9592645363799934
superb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108,107,0.7951388888888886,1,superb,0.47346198331204425,0.47346198331204425,True,False,1,6,4.6913478822291435,1137.0,0,1.0359173088908864,0.5206705381738664
figure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108,103,0.3258101851851852,1,figure,0.004133279608340812,0.004133279608340812,True,False,2,6,4.6913478822291435,1137.0,0,2.041037641304143,0.25913945906927477
valuable,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108,108,0.6570564814814817,1,valuable,0.3353795759046373,0.3353795759046373,True,False,2,8,4.6913478822291435,1137.0,0,1.3674295638830245,0.2702337089903336
references,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108,106,0.5462861111111109,1,references,0.22460920553426655,0.22460920553426655,True,False,2,10,4.6913478822291435,1137.0,0,1.2964820721640924,0.4726771662958539
black,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108,80,0.3654009259259259,1,black,0.043724020349081516,0.043724020349081516,True,False,2,5,4.6913478822291435,1137.0,0,2.0980460709381186,0.16475515229092913
progress,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,100,0.5637317757009346,1,progress,0.24205487012409022,0.24205487012409022,True,False,2,8,4.68213122712422,1143.5,0,1.4884839711333013,0.3113108289093203
glitches,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,103,0.2247626168224298,1,glitches,-0.09691428875441457,0.09691428875441457,True,False,1,8,4.68213122712422,1143.5,0,1.276777745419725,0.3472934842171858
key,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,107,101,0.4009177570093455,1,key,0.07924085143250115,0.07924085143250115,True,False,3,3,4.68213122712422,1143.5,0,2.63063071042524,-0.46913788014576896
seeing,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,107,105,0.3588467289719626,1,seeing,0.03716982339511826,0.03716982339511826,True,False,2,6,4.68213122712422,1143.5,0,1.989806814948664,0.24551473905277418
